iter	Passed	Remaining
965	18636	655
966	18656	636
967	18676	617
968	18694	598
969	18712	578
970	18731	559
971	18749	540
972	18771	520
973	18794	501
974	18815	482
975	18835	463
976	18856	443
977	18876	424
978	18898	405
979	18918	386
980	18940	366
981	18960	347
982	18980	328
983	18999	308
984	19016	289
985	19034	270
986	19052	250
987	19071	231
988	19088	212
989	19106	192
990	19124	173
991	19142	154
992	19160	135
993	19180	115
994	19197	96
995	19215	77
996	19233	57
997	19251	38
998	19269	19
999	19287	0
